species,lon,lat
Egernia cunninghami,151.7,-31.9
Egernia cunninghami,153.3587904,-28.97539944
Egernia cunninghami,149.8365742,-32.07065937
Egernia cunninghami,151.0512231,-24.41726183
Egernia cunninghami,151.3944,-33.42778
Egernia cunninghami,142.67,-37.52
Egernia cunninghami,147.12,-37.54
Egernia cunninghami,151.0159445,-33.38988997
Egernia cunninghami,146.51,-38.33
Egernia cunninghami,140.5013316,-35.33185435
Egernia cunninghami,141.09,-34.3
Egernia cunninghami,143.4528,-35.30305
Egernia cunninghami,147.52,-36.65
Egernia cunninghami,143.6667,-36.3775
Egernia cunninghami,151.6639181,-32.94345688
Egernia cunninghami,148.31,-36.43
Egernia cunninghami,150.1051873,-36.01247596
Egernia cunninghami,152.564656,-31.94399838
Egernia cunninghami,152.2963573,-32.23238161
Egernia cunninghami,142.7,-37.93056
Egernia cunninghami,143.5,-38.29
Egernia cunninghami,142.52,-37.51
Egernia cunninghami,146.26,-36.07722
Egernia cunninghami,151.8421411,-31.63905884
Egernia cunninghami,143.9,-38.35
Egernia cunninghami,149.9975,-31.33222
Egernia cunninghami,146.54,-38.4
Egernia cunninghami,150.2117,-35.66611
Egernia cunninghami,145.15,-37.37
Egernia cunninghami,149.82,-33.33
Egernia cunninghami,146.58,-38.45
Egernia cunninghami,145.37,-36.24
Egernia cunninghami,148.5525879,-36.18257659
Egernia cunninghami,144.27,-37.32
Egernia cunninghami,149.6181687,-36.29469286
Egernia cunninghami,152.1500829,-31.28691298
Egernia cunninghami,150.5172286,-26.48817076
Egernia cunninghami,146.9311,-36.56306
Egernia cunninghami,149.6841979,-37.25804871
Egernia cunninghami,152.6672191,-29.37439624
Egernia cunninghami,150.8315672,-34.47717099
Egernia cunninghami,148.7,-37.24
Egernia cunninghami,146.38,-37.98
Egernia cunninghami,144.75,-37.59
Egernia cunninghami,147.97,-37.69
Egernia cunninghami,143.75,-37.08
Egernia cunninghami,141.95528,-36.13083
Egernia cunninghami,151.8169892,-28.47537348
Egernia cunninghami,147.9,-36.93
Egernia cunninghami,144.8512848,-36.06514941
Egernia cunninghami,151.6477794,-32.94959673
Egernia cunninghami,146.912064,-34.35403284
Egernia cunninghami,148.04,-37.8
Egernia cunninghami,145.2838577,-37.78257847
Egernia cunninghami,145.2833,-37.95
Egernia cunninghami,145.9441681,-38.41889191
Egernia cunninghami,152.8840394,-29.61959825
Egernia cunninghami,147.5075314,-30.64945221
Egernia cunninghami,139.075,-35.38334
Egernia cunninghami,152.4386,-27.20111
Egernia cunninghami,153.1545108,-29.91997901
Egernia cunninghami,152.9100008,-29.24165572
Egernia cunninghami,139.025,-35.60833
Egernia cunninghami,150.2541142,-35.10273625
Egernia cunninghami,144.93333,-35.53333
Egernia cunninghami,142.04,-35.11
Egernia cunninghami,150.0461121,-32.34389114
Egernia cunninghami,149.7046647,-33.62011307
Egernia cunninghami,144.88,-37.11
Egernia cunninghami,144.89,-37.66
Egernia cunninghami,150.9608,-32.66444
Egernia cunninghami,144.44,-35.82
Egernia cunninghami,142.78,-37.64
Egernia cunninghami,152.567734,-26.74007581
